Rep,Trtmt,Tray,Row,Col,Survival,HvstDate,Lvs,WetWt,DryWt,WaterWt,Wilting,EstMeanLWt,EstMeanLDWt,EstMeanLWat
1,0,3,4,1,1,13-Sep-16,4,10.82,1.28,9.54,,2.71,0.32,2.39
1,0,3,4,2,1,13-Sep-16,5,7.45,0.76,6.69,,1.49,0.15,1.34
1,0,3,4,3,1,13-Sep-16,5,7.12,0.65,6.47,,1.42,0.13,1.29
1,0,3,4,4,1,13-Sep-16,5,10.98,1.25,9.73,,2.20,0.25,1.95
1,0,3,5,1,1,13-Sep-16,5,7.12,0.63,6.49,,1.42,0.13,1.30
1,0,3,5,2,1,13-Sep-16,6,9.22,1.17,8.05,,1.54,0.20,1.34
1,0,3,5,3,1,13-Sep-16,4,8.20,0.84,7.36,,2.05,0.21,1.84
1,0,3,5,4,1,13-Sep-16,4,6.43,0.83,5.60,,1.61,0.21,1.40
1,0,3,6,1,1,13-Sep-16,5,10.99,1.28,9.71,,2.20,0.26,1.94
1,0,3,6,2,1,13-Sep-16,5,6.60,0.82,5.78,,1.32,0.16,1.16
1,0,3,6,3,1,13-Sep-16,4,7.45,0.86,6.59,,1.86,0.22,1.65
1,0,3,6,4,1,13-Sep-16,5,14.01,1.84,12.17,,2.80,0.37,2.43
1,0,3,7,1,1,13-Sep-16,4,9.10,1.03,8.07,,2.28,0.26,2.02
1,0,3,7,2,1,13-Sep-16,5,8.68,0.68,8.00,,1.74,0.14,1.60
1,0,3,7,3,1,13-Sep-16,4,7.34,0.95,6.39,,1.84,0.24,1.60
1,0,3,7,4,1,13-Sep-16,6,11.73,1.24,10.49,,1.96,0.21,1.75
1,0,3,8,1,1,13-Sep-16,4,7.46,0.75,6.71,,1.87,0.19,1.68
1,0,3,8,2,1,13-Sep-16,4,6.84,0.76,6.08,,1.71,0.19,1.52
1,0,3,8,3,1,13-Sep-16,5,9.77,1.14,8.63,,1.95,0.23,1.73
1,0,3,8,4,1,13-Sep-16,4,6.95,0.87,6.08,,1.74,0.22,1.52
1,0,3,9,1,1,13-Sep-16,4,5.51,0.77,4.74,,1.38,0.19,1.19
1,0,3,9,2,1,13-Sep-16,4,7.14,0.81,6.33,,1.79,0.20,1.58
1,0,3,9,3,1,13-Sep-16,5,8.14,0.85,7.29,,1.63,0.17,1.46
1,0,3,9,4,1,13-Sep-16,5,7.13,0.93,6.20,,1.43,0.19,1.24
1,0,3,10,1,1,13-Sep-16,6,6.34,0.76,5.58,,1.06,0.13,0.93
1,0,3,10,2,1,13-Sep-16,4,7.42,0.87,6.55,,1.86,0.22,1.64
1,0,3,10,3,1,13-Sep-16,7,7.77,0.89,6.88,,1.11,0.13,0.98
1,0,3,10,4,1,13-Sep-16,5,6.14,0.78,5.36,,1.23,0.16,1.07
1,0.5,1,1,1,1,18-Sep-16,4,6.60,0.92,5.68,,1.65,0.23,1.42
1,0.5,1,1,2,1,18-Sep-16,6,8.55,1.01,7.54,,1.43,0.17,1.26
1,0.5,1,1,3,1,18-Sep-16,4,8.02,1.09,6.93,,2.01,0.27,1.73
1,0.5,1,1,4,1,18-Sep-16,5,5.11,0.78,4.33,,1.02,0.16,0.87
1,0.5,1,2,1,1,18-Sep-16,6,7.55,0.78,6.77,,1.26,0.13,1.13
1,0.5,1,2,2,1,18-Sep-16,4,7.28,1.18,6.10,,1.82,0.30,1.53
1,0.5,1,2,3,1,18-Sep-16,5,8.93,1.31,7.62,,1.79,0.26,1.52
1,0.5,1,2,4,1,18-Sep-16,5,6.02,0.84,5.18,,1.20,0.17,1.04
1,0.5,1,3,1,1,18-Sep-16,4,7.92,1.14,6.78,,1.98,0.29,1.70
1,0.5,1,3,2,1,18-Sep-16,6,6.54,0.96,5.58,,1.09,0.16,0.93
1,0.5,1,3,3,1,18-Sep-16,4,6.26,0.83,5.43,,1.57,0.21,1.36
1,0.5,1,3,4,1,18-Sep-16,6,7.50,1.04,6.46,,1.25,0.17,1.08
1,0.5,1,4,1,1,18-Sep-16,5,7.12,0.95,6.17,,1.42,0.19,1.23
1,0.5,1,4,2,1,18-Sep-16,4,7.14,0.92,6.22,,1.79,0.23,1.56
